Day,Video,Droplett,Ionized,Video T(m:s),1F(x) mm,1F(t) s,1R(x) mm,1R(t) s,2F(x) mm,2F(t) s,2R(x) mm,2R(t) s,3F(x) mm,3F(t) s,3R(x) mm,3R(t) s,Volts V ,Temp T,,,,
3/30/2022,run3,1,0,4:14,0.5,13.38,0.5,1.88,0.5,14.28,0.5,3.56,,,,,501,,,F= Fall,E = 0,Grounded plates
4/4/2022,R1,1,0,0:08,0.5,4.31,0.5,11.68,0.5,3.72,0.5,10.83,,,,,501,,,R= Rise,E â‰  0,Voltage Applied
,,1,1,2:28,0.5,4.5,0.5,2.83,0.5,4.42,0.5,1.89,0.5,4.19,0.5,1.89,501,,,,,
,,2,2,6:42,0.5,4.46,0.5,0.7325,0.5,3.97,0.5,0.5575,0.5,4.2425,0.5,0.795,501,,,x = change in x ,,
,,,,,,,,,,,,,,,,,501,,,t = change in t ,,
4/6/2022,1,1,,,,8.99,,3.02,,8.96,,3.98,,8.98,,,501,,,E.g.: ,,
,,2,,,,11.98,,36.04-39.00,,45.02-54.04,,,,,,,501,,,F(x)m,F(t) ,
,,,,,,,,,,,,,,,,,501,,,,,
,,,,,,,,,,,,,,,,,501,,,,,
,,,,,,,,,,,,,,,,,501,,,,,
,,,,,,,,,,,,,,,,,501,,,,,
,,,,,,,,,,,,,,,,,501,,,,,
,,,,,,,,,,,,,,,,,501,,,,,
,,,,,,,,,,,,,,,,,501,,,,,
,,,,,,,,,,,,,,,,,501,,,,,
,,,,,,,,,,,,,,,,,501,,,,,
,,,,,,,,,,,,,,,,,501,,,,,
,,,,,,,,,,,,,,,,,501,,,,,
,,,,,,,,,,,,,,,,,501,,,,,
,,,,,,,,,,,,,,,,,501,,,,,
,,,,,,,,,,,,,,,,,501,,,,,
,,,,,,,,,,,,,,,,,501,,,,,
,,,,,,,,,,,,,,,,,501,,,,,
